Classificacao,Inscricao,Objetiva,Discursiva
0001,0005,9.83,9.51
0002,0012,9.9,9.12
0003,0010,9.13,8.68
0004,0052,9.42,7.93
0005,0032,7.87,8.83
0006,0028,7.79,8.54
0007,0002,6.53,9.06
0008,0015,7.87,7.63
0009,0009,6.5,8.61
0010,0021,8.13,6.82
0011,0042,5.76,8.98
0012,0023,4.39,9.54
0013,0026,9.91,3.56
0014,0003,4.52,8.74
0015,0053,9.31,3.95
0016,0031,9.13,3.83
0017,0048,9.49,3.29
0018,0046,4.6,7.82
0019,0007,5.81,6.51
0020,0013,2.1,9.9
0021,0011,2.98,8.77
0022,0006,8.63,2.83
0023,0008,4.54,6.55
0024,0037,2.61,8.22
0025,0033,6.42,4.35
0026,0038,0.44,10.0
0027,0047,9.91,0.48
0028,0044,7.65,2.5
0029,0036,3.87,6.17
0030,0041,2.05,7.92
0031,0045,7.41,2.34
0032,0039,7.82,1.53
0033,0017,2.66,5.95
0034,0018,3.65,4.65
0035,0035,1.96,5.82
0036,0024,5.16,2.5
0037,0016,0.39,7.05
0038,0014,6.35,1.02
0039,0050,4.8,2.4
0040,0034,1.42,5.41
0041,0049,2.19,4.53
0042,0020,2.13,3.84
0043,0004,5.36,0.52
0044,0001,4.77,0.89
0045,0030,0.49,4.49
0046,0051,3.75,0.95
0047,0025,1.63,2.68
0048,0040,4.13,0.01
0049,0022,3.5,0.6
0050,0043,0.54,3.38
0051,0029,0.8,2.69
0052,0027,0.73,0.37
0053,0019,0.31,0.03
